,,buffer,no-buffer
FD001,position,0.995,0.953
FD001,velocity,0.812,0.799
FD001,net displacement,1.0,0.989
FD001,"spearman(net,RUL)",-0.864,
FD004,position,0.998,0.979
FD004,velocity,0.827,0.799
FD004,net displacement,0.998,0.963
FD004,"spearman(net,RUL)",-0.808,
